State,Year,Population.12-17,Population.18-25,Population.26+,Totals.Alcohol.Use Disorder Past Year.12-17,Totals.Alcohol.Use Disorder Past Year.18-25,Totals.Alcohol.Use Disorder Past Year.26+,Rates.Alcohol.Use Disorder Past Year.12-17,Rates.Alcohol.Use Disorder Past Year.18-25,Rates.Alcohol.Use Disorder Past Year.26+,Totals.Alcohol.Use Past Month.12-17,Totals.Alcohol.Use Past Month.18-25,Totals.Alcohol.Use Past Month.26+,Rates.Alcohol.Use Past Month.12-17,Rates.Alcohol.Use Past Month.18-25,Rates.Alcohol.Use Past Month.26+,Totals.Tobacco.Cigarette Past Month.12-17,Totals.Tobacco.Cigarette Past Month.18-25,Totals.Tobacco.Cigarette Past Month.26+,Rates.Tobacco.Cigarette Past Month.12-17,Rates.Tobacco.Cigarette Past Month.18-25,Rates.Tobacco.Cigarette Past Month.26+,Totals.Illicit Drugs.Cocaine Used Past Year.12-17,Totals.Illicit Drugs.Cocaine Used Past Year.18-25,Totals.Illicit Drugs.Cocaine Used Past Year.26+,Rates.Illicit Drugs.Cocaine Used Past Year.12-17,Rates.Illicit Drugs.Cocaine Used Past Year.18-25,Rates.Illicit Drugs.Cocaine Used Past Year.26+,Totals.Marijuana.New Users.12-17,Totals.Marijuana.New Users.18-25,Totals.Marijuana.New Users.26+,Rates.Marijuana.New Users.12-17,Rates.Marijuana.New Users.18-25,Rates.Marijuana.New Users.26+,Totals.Marijuana.Used Past Month.12-17,Totals.Marijuana.Used Past Month.18-25,Totals.Marijuana.Used Past Month.26+,Rates.Marijuana.Used Past Month.12-17,Rates.Marijuana.Used Past Month.18-25,Rates.Marijuana.Used Past Month.26+,Totals.Marijuana.Used Past Year.12-17,Totals.Marijuana.Used Past Year.18-25,Totals.Marijuana.Used Past Year.26+,Rates.Marijuana.Used Past Year.12-17,Rates.Marijuana.Used Past Year.18-25,Rates.Marijuana.Used Past Year.26+,Totals.Tobacco.Use Past Month.12-17,Totals.Tobacco.Use Past Month.18-25,Totals.Tobacco.Use Past Month.26+,Rates.Tobacco.Use Past Month.12-17,Rates.Tobacco.Use Past Month.18-25,Rates.Tobacco.Use Past Month.26+
New Jersey,2010,717188,866637,5785457,33,126,323,46.126,144.938,55.909,124,556,3499,172.367,641.408,604.745,60,305,1326,83.451,351.54,229.203,6,51,83,8.816,59.2,14.368,41,36,7,66.09,83.959,2.188,57,167,262,79.447,192.928,45.202,104,278,391,144.501,320.47,67.663,77,349,1539,106.849,402.971,266.064
New Jersey,2011,710612,876279,5826415,28,139,331,39.519,158.244,56.785,124,556,3499,174.72,634.005,600.476,48,287,1144,67.35,327.81,196.42,5,47,86,7.323,53.149,14.828,39,37,7,59.936,80.175,1.828,49,169,231,68.503,192.595,39.585,94,296,380,132.091,337.842,65.202,62,323,1345,87.146,368.082,230.764
New Jersey,2012,706126,884775,5868068,20,126,347,28.458,142.262,59.201,96,523,3520,136.406,590.729,599.817,36,252,990,51.152,284.35,168.643,5,45,76,6.505,50.437,12.919,36,35,7,54.411,71.729,1.821,38,137,214,53.769,154.776,36.403,85,274,400,120.589,309.805,68.113,48,293,1181,67.497,331.339,201.178
New Jersey,2013,701644,890874,5907201,23,106,357,32.783,119.22,60.442,100,541,3630,143.077,607.351,614.544,34,230,1073,47.961,257.715,181.562,3,36,60,4.713,40.317,10.154,35,37,8,54.847,74.751,2.306,45,148,280,63.626,165.966,47.389,90,268,485,128.621,301.029,82.164,50,280,1283,71.682,313.772,217.23
New Jersey,2014,697509,894294,5945550,23,102,306,32.424,114.242,51.462,97,570,3605,138.76,636.914,606.341,25,221,1012,35.147,247.073,170.221,4,41,84,6.035,45.529,14.186,32,38,10,49.856,78.294,2.969,47,170,311,68.097,189.602,52.285,87,293,515,124.113,327.537,86.6,37,277,1249,53.265,309.476,210.029
New Jersey,2015,694182,892114,5965066,15,100,249,21.928,112.425,41.802,73,547,3424,105.469,612.76,574.044,20,224,950,29.02,250.537,159.324,4,59,82,5.526,66.267,13.809,30,39,12,44.956,81.826,3.527,40,183,288,57.235,205.541,48.28,75,315,517,108.028,353.53,86.627,32,270,1152,46.377,302.661,193.072
New Jersey,2016,691607,890578,6001097,11,99,248,15.426,111.144,41.3,75,534,3420,108.664,599.069,569.878,17,214,1033,25.036,239.965,172.126,3,58,80,4.904,64.769,13.413,29,42,14,42.259,85.434,3.93,36,199,307,51.556,223.358,51.196,71,315,526,102.807,353.571,87.731,29,266,1281,41.359,298.86,213.39
New Jersey,2017,684290,880024,6010331,10,87,263,15.016,98.552,43.694,75,518,3385,110.074,588.86,563.225,15,185,963,21.682,210.556,160.279,2,38,71,3.36,42.682,11.876,33,41,14,49.195,83.851,3.867,38,186,373,56.058,210.821,62.11,76,299,557,110.732,339.563,92.652,25,249,1167,35.885,283.168,194.215
New Jersey,2018,675646,860848,5989388,10,72,244,14.872,84.209,40.661,64,505,3407,94.044,586.44,568.899,11,128,852,15.62,149.012,142.321,2,41,76,3.176,47.726,12.7,33,40,15,52.225,85.946,4.768,45,194,437,66.943,224.974,73.022,78,304,651,114.769,353.597,108.704,20,184,1003,29.552,213.777,167.401
New Mexico,2002,176611,210636,1122984,14,48,90,77.317,226.758,80.058,37,128,558,206.727,607.794,496.692,22,81,260,123.438,384.506,231.938,5,21,20,28.077,100.343,18.141,11,8,1,82.554,104.922,1.428,18,40,53,103.467,189.767,47.416,34,71,81,190.314,338.012,72.406,27,95,316,153.652,452.628,281.426
New Mexico,2003,175489,218107,1142829,14,46,91,80.395,210.921,79.368,36,130,560,203.31,596.785,490.229,23,82,258,130.104,377.773,225.807,5,21,22,27.672,97.727,19.345,11,6,1,87.619,73.159,1.223,21,46,66,119.052,211.02,57.905,35,73,96,198.83,335.15,83.86,29,97,315,167.889,442.8,275.789
New Mexico,2004,173285,224690,1167618,12,42,81,66.533,186.735,69.279,31,128,595,180.885,571.488,509.422,20,89,261,116.991,396.569,223.289,4,16,17,21.447,70.452,14.77,10,6,1,78.306,61.646,1.7,16,40,49,91.131,177.055,41.586,30,63,80,172.106,280.001,68.893,26,102,309,151.442,453.59,264.892
